title,price
南北通透 3室2厅  世茂玖熙 精装修,153
南北通透 2室2厅 精装修,115
云阳东里 南北通透 简单装修 41平 看房方便 有钥匙,142
央企中交开发刚需改善大盘 绿城物业 成熟配套商圈,181
揽城苑，精装通透两居，H户型，首付21.9万，即可拥有，,73
和平岳阳道岳康园大独单公产能买产权能做公易贷355万全包,355
国耀精装大三室 前排无遮挡 户型好,187
南北通透 2室2厅 精装修,151
满五   南北通透 3室2厅 精装修,187
现房急售，好楼层，临湖首排视野好，采光充足,68
世茂玖熙 南北通透 99平 精装修 满二 3室2厅 房东急置,156
紧邻河北红桥！天和丽园 改善两居！少税 价格可议 诚意出售,111
正南 2室2厅 精装修,136
金地艺墅家  看房随时 车接车 配套齐,182
出售塘沽区3室2厅精装修南北,180
天和丽园 北中环 近市区  师大教育 低税 急售,112
中新生态城 新上捡漏房源 前排无遮挡 大三居两卫金角 有车位,179
40平米阁楼 地暖 已做好 生态城 中加洋房 国企开发,162
满五   南北通透 2室1厅,99
春风景里 红桥房本 156万起 绿城物业 地铁一号线400米,161
精装修 学府壹号 126平 3室 南开片 楼层好 视野无遮挡,200
南北通透 精装修 满二  住房 金融街听湖小镇 看房方便 有,107
满五   正南 2室1厅  暖塘欣昌苑 精装修,72
小高层，全阳两室，视野开阔无遮挡，业主降价急售，看房随时,193
荣溪园 精装修 满五  住房 80平 电梯房 采光好,85
洋房社区 周边配套成熟 低于周边价格 临近地铁 通透户型,179
南北通透 4室2厅 精装修,198
三楼呀，价格还有量，小区位置好，出行方便,180
急售精装修  班芙小镇枫丹园 万科物业 南北通透 采光好,134
新上远洋新干线   南北通透  高楼层  视野好,132
